Nr,Destination,Prefix,Zone,Mobile,Cost
4181,"Bosnia-Herzegovina, mobile",38764,3,1,0.50
4182,"Bosnia-Herzegovina, mobile",3876440,3,1,0.50
4183,"Bosnia-Herzegovina, mobile",3876441,3,1,0.50
4184,"Bosnia-Herzegovina, mobile",3876442,3,1,0.50
4185,"Bosnia-Herzegovina, mobile",3876443,3,1,0.50
4186,"Bosnia-Herzegovina, mobile",3876444,3,1,0.50
4187,"Bosnia-Herzegovina, mobile",3876445,3,1,0.50
4188,"Bosnia-Herzegovina, mobile",38765,3,1,0.50
4189,"Bosnia-Herzegovina, mobile",38766,3,1,0.50
4190,"Bosnia-Herzegovina, mobile",38767,3,1,0.50
4191,ETNS Euro Space,388,7,,9.95
4192,Macedonia,389,3,,0.30
4193,Macedonia,3892,3,,0.30
4194,"Macedonia, mobile",38951,3,1,0.50
4195,"Macedonia, mobile",3897,3,1,0.50
4196,"Macedonia, mobile",38970,3,1,0.50
4197,"Macedonia, mobile",38971,3,1,0.50
4198,"Macedonia, mobile",38972,3,1,0.50
4199,"Macedonia, mobile",38975,3,1,0.50
4200,"Macedonia, mobile",38976,3,1,0.50
4201,"Macedonia, mobile",38977,3,1,0.50
4202,"Macedonia, mobile",38978,3,1,0.50
4203,Italy,39,9,,0.05
4204,"Italy, Rete Fissa",390,9,,0.05
4205,"Italy, Servizio Clienti TIM",39119,9,,0.05
4206,"Italy, Seat Pagine Gialle S.p.A.",391240,9,,1.20
4207,"Italy, 1244 S.R.L.",391244,9,,1.20
4208,"Italy, 11888 Servicio Consulta Telefonica S.A.",391248,9,,1.20
4209,"Italy, Conduit Enterprises Ltd",391250,9,,1.20
4210,"Italy, Telecom Italia S.p.A.",391254,9,,1.20
4211,"Italy, Consultazione Telefonica S.r.l.",391288,9,,1.20
4212,"Italy, ES Enhanced Services Company S.r.l.",391299,9,,1.20
4213,"Italy, Servizio Clienti Infostrada",39155,9,,0.05
4214,"Italy, Servizio Clienti Wind",39158,9,,0.05
